movie,num_days,first_date,mn_num_releases,md_num_releases
The Secret Life of Pets,13,2016-07-08,49,48
The Secret Life of Pets 2,11,2019-06-07,53,54
The SpongeBob Movie: Sponge on the Run,7,2020-08-14,12,11
The Suicide Squad,3,2021-08-06,35,35
The Super Mario Bros. Movie,30,2023-04-05,35,35
The Tax Collector,1,2020-08-07,13,13
The Upside,6,2019-01-11,52,52
The War with Grandpa,7,2020-10-09,28,29
The Wild Robot,10,2024-09-27,42,40
The Woman King,7,2022-09-16,49,48
The Wretched,42,2020-05-01,4,3
Thor: Love and Thunder,14,2022-07-08,31,32
Thor: Ragnarok,14,2017-11-03,60,60
Thunderbolts*,13,2025-05-02,38,38
Tom & Jerry,7,2021-02-26,28,26
Tomb Raider,1,2018-03-16,55,55
Top Gun: Maverick,24,2022-05-27,35,35
Toy Story 4,11,2019-06-21,52,52
Transformers One,1,2024-09-20,43,43
Transformers: Rise of the Beasts,1,2023-06-09,31,31
Transformers: The Last Knight,7,2017-06-21,50,50
Tron: Ares,7,2025-10-10,40,39
True History of the Kelly Gang,7,2020-04-24,2,2
Twisters,7,2024-07-19,33,32
Uncharted,14,2022-02-18,38,38
Unhinged,7,2020-08-21,8,8
Unsubscribe,1,2020-06-10,7,7
Us,7,2019-03-22,69,69
Venom,9,2018-10-05,66,66
Venom: Let There Be Carnage,7,2021-10-01,33,33
Venom: The Last Dance,20,2024-10-25,45,45
Violent Night,1,2022-12-02,31,31
War for the Planet of the Apes,4,2017-07-14,52,52
Weapons,25,2025-08-08,34,34
West Side Story,4,2021-12-10,35,35
Wicked,15,2024-11-22,34,36
Wicked: For Good,5,2025-11-21,37,38
Winchester,1,2018-02-02,46,46
Wish,1,2023-11-22,36,36
Wonder Woman,14,2017-06-02,48,48
Wonder Woman 1984,21,2020-12-25,18,17
Wonka,19,2023-12-15,43,44
Wrath of Man,7,2021-05-07,30,28
X-Men: Apocalypse,7,2016-05-27,45,45
Zootopia,20,2016-03-04,51,52
Zootopia 2,20,2025-11-26,39,39
