,,,,,,
DomesticInternationalWorldwideCalendarAll TimeShowdownsIndices,,,,,,
DailyWeekendWeeklyMonthlyQuarterly,,,,,,
Yearly,,,,,,
SeasonsHolidays,,,,,,
Domestic Box Office For 2020,,,,,,
2020,,,,,,
,,,,,,
Calendar grosses,,,,,,
Rank,Release,Gross,Theaters,Total Gross,Release Date,Distributor
125,Followed,"$538,179 ",100,"$538,179 ",19-Jun,Global View Entertainment
126,Alone,"$537,589 ",173,"$537,589 ",18-Sep,Magnolia Pictures
127,Harriet,"$534,455 ","2,186","$43,082,155 ",1-Nov,Focus Features
128,Kajillionaire,"$531,430 ",547,"$531,430 ",25-Sep,Focus Features
129,The Addams Family,"$528,320 ","4,107","$100,044,905 ",11-Oct,United Artists Releasing
130,Madagascar,"$516,210 ",-,"$516,210 ",25-Dec,Universal Pictures
,2020 Re-release,,,,,
131,100% Wolf,"$514,957 ",124,"$658,764 ",9-Oct,Viva Pictures
132,The Big Ugly,"$514,107 ",68,"$514,107 ",24-Jul,Vertical Entertainment
133,The Call,"$505,746 ",195,"$516,521 ",2-Oct,Atlas Distribution Company
134,The Grinch,"$502,781 ",450,"$473,781 ",27-Nov,Universal Pictures
,2020 Re-release,,,,,
135,Dark Waters,"$502,205 ","2,112","$11,136,084 ",22-Nov,Focus Features
136,The Forgotten Carols,"$500,692 ",70,"$502,252 ",20-Nov,Purdie Distribution
137,Spell,"$500,104 ",369,"$500,104 ",30-Oct,Paramount Pictures
138,Ava,"$497,747 ",252,"$497,747 ",25-Sep,Vertical Entertainment
139,Pinocchio,"$488,838 ",824,"$1,831,718 ",25-Dec,Roadside Attractions
140,Beauty and the Beast,"$467,000 ",527,"$467,000 ",17-Jul,Walt Disney Pictures
,2020 Re-release,,,,,
141,Once Were Brothers,"$449,561 ",152,"$449,561 ",21-Feb,Magnolia Pictures
142,Seberg,"$434,702 ",373,"$434,702 ",21-Feb,Amazon Studios
143,Iron Man,"$430,000 ",462,"$430,000 ",17-Jul,Walt Disney Pictures
,2020 Re-release,,,,,
144,Fantastic Fungi,"$429,446 ",37,"$1,788,322 ",20-Sep,Area 23a
145,Infamous,"$429,148 ",58,"$429,148 ",12-Jun,Vertical Entertainment
146,Tulsa,"$413,383 ",192,"$413,378 ",21-Aug,Pryor Entertainment
147,Stevie Nicks 24 Karat Gold the Concert,"$410,265 ",413,"$410,265 ",21-Oct,Trafalgar Releasing
148,Buddy Games,"$405,904 ",401,"$405,904 ",20-Nov,Paramount Pictures
149,Black Panther,"$367,000 ",421,"$367,000 ",10-Jul,Walt Disney Pictures
,2020 Re-release,,,,,
150,The Kid Detective,"$364,138 ",865,"$364,138 ",16-Oct,Stage 6 Films
151,She Dies Tomorrow,"$361,329 ",24,"$398,663 ",31-Jul,Neon
152,Greed,"$355,308 ",596,"$355,308 ",28-Feb,Sony Pictures Classics
153,Yellow Rose,"$348,011 ",900,"$367,849 ",9-Oct,Stage 6 Films
154,Ride Your Wave,"$332,432 ",605,"$332,432 ",19-Feb,Fathom Events
155,The Eight Hundred,"$331,279 ",142,"$372,755 ",28-Aug,CMC Pictures
156,Les Misérables,"$330,181 ",69,"$330,181 ",10-Jan,Amazon Studios
157,Die Hard,"$325,000 ","1,172","$325,000 ",4-Dec,Walt Disney Studios Motion Pictures
,2020 Re-release,,,,,
158,Clemency,"$323,980 ",127,"$364,716 ",27-Dec,Neon
159,Ordinary Love,"$323,688 ",22,"$323,688 ",14-Feb,Bleecker Street Media
160,Casper,"$303,220 ","2,757","$100,836,847 ",26-May,Universal Pictures
